Time	Open	High	Low	Close	Volume
2017-12-05 00:00:00	16.337	16.353	16.019	16.116	3839
2017-12-06 00:00:00	16.115	16.137	15.904	15.964	3664
2017-12-07 00:00:00	15.963	15.983	15.632	15.725	3332
2017-12-08 00:00:00	15.727	15.884	15.697	15.84	3113
2017-12-10 00:00:00	15.83	15.851	15.813	15.824	54
2017-12-11 00:00:00	15.836	15.874	15.678	15.726	2444
2017-12-12 00:00:00	15.725	15.807	15.606	15.72	2665
2017-12-13 00:00:00	15.716	16.139	15.661	16.03	3624
2017-12-14 00:00:00	16.029	16.117	15.82	15.899	2549
2017-12-15 00:00:00	15.895	16.075	15.887	16.038	2485
2017-12-17 00:00:00	16.022	16.049	16.012	16.016	79
2017-12-18 00:00:00	16.015	16.163	16.001	16.12	2627
2017-12-19 00:00:00	16.119	16.215	16.036	16.123	2807
2017-12-20 00:00:00	16.123	16.254	16.08	16.159	2816
2017-12-21 00:00:00	16.184	16.242	16.077	16.134	2566
2017-12-22 00:00:00	16.133	16.416	16.1	16.321	2876
2017-12-26 00:00:00	16.321	16.553	16.305	16.532	62
2017-12-27 00:00:00	16.532	16.719	16.474	16.676	3473
2017-12-28 00:00:00	16.676	16.878	16.657	16.84	3121
2017-12-29 00:00:00	16.833	17.102	16.805	16.929	3719
2018-01-01 00:00:00	17.006	17.009	16.916	17.004	2
2018-01-02 00:00:00	17.003	17.201	16.918	17.191	3954
2018-01-03 00:00:00	17.191	17.23	17.015	17.09	3664
2018-01-04 00:00:00	17.091	17.266	16.972	17.166	4081
2018-01-05 00:00:00	17.167	17.274	17.089	17.197	3898
2018-01-07 00:00:00	17.228	17.238	17.187	17.226	32
2018-01-08 00:00:00	17.227	17.247	17.035	17.089	3420
2018-01-09 00:00:00	17.088	17.128	16.897	16.933	3456
2018-01-10 00:00:00	16.932	17.178	16.898	16.986	6006
2018-01-11 00:00:00	16.986	17.037	16.861	16.998	3490
2018-01-12 00:00:00	16.996	17.277	16.987	17.25	4181
2018-01-14 00:00:00	17.214	17.255	17.207	17.216	46
2018-01-15 00:00:00	17.217	17.417	17.197	17.353	2117
2018-01-16 00:00:00	17.353	17.353	16.855	17.204	3902
2018-01-17 00:00:00	17.205	17.283	16.979	17.024	4477
2018-01-18 00:00:00	17.025	17.123	16.898	16.968	4088
2018-01-19 00:00:00	16.967	17.12	16.945	17.024	3752
2018-01-21 00:00:00	17.077	17.084	17.002	17.06	22
2018-01-22 00:00:00	17.059	17.081	16.936	17.004	3143
2018-01-23 00:00:00	17.005	17.087	16.738	17.047	4289
2018-01-24 00:00:00	17.044	17.612	16.981	17.511	4260
2018-01-25 00:00:00	17.51	17.693	17.125	17.313	5001
2018-01-26 00:00:00	17.315	17.534	17.3	17.368	2864
2018-01-28 00:00:00	17.401	17.447	17.367	17.419	167
2018-01-29 00:00:00	17.415	17.474	17.102	17.173	2277
2018-01-30 00:00:00	17.168	17.327	17.066	17.12	3962
2018-01-31 00:00:00	17.111	17.389	17.085	17.35	4349
2018-02-01 00:00:00	17.35	17.357	17.093	17.2	3592
2018-02-02 00:00:00	17.196	17.244	16.55	16.564	2941
2018-02-04 00:00:00	16.615	16.66	16.537	16.626	116
2018-02-05 00:00:00	16.627	16.896	16.59	16.769	3313
2018-02-06 00:00:00	16.765	16.978	16.573	16.659	6924
2018-02-07 00:00:00	16.66	16.768	16.256	16.397	4587
2018-02-08 00:00:00	16.393	16.466	16.233	16.432	4559
2018-02-09 00:00:00	16.43	16.441	16.177	16.315	4789
2018-02-11 00:00:00	16.325	16.364	16.313	16.337	16
2018-02-12 00:00:00	16.356	16.613	16.319	16.543	2372
2018-02-13 00:00:00	16.543	16.676	16.446	16.6	2919
2018-02-14 00:00:00	16.601	16.922	16.326	16.891	3171
2018-02-15 00:00:00	16.893	16.973	16.636	16.853	3587
2018-02-16 00:00:00	16.849	16.938	16.604	16.679	4397
2018-02-18 00:00:00	16.633	16.69	16.615	16.64	81
